pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match
23,1,23.0,23.0,4.47213595499958,6.0,0.9946351544273337,4.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
24,1,24.0,24.0,156.01281998605114,158.0,0.9999999894471205,0.0,1.0,2.0,0,0.0,1,0,0.0,0.4,156.0,0.0,0.0
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
26,1,26.0,26.0,11012.000090810025,11014.0,-0.08047057168032268,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,11012.0,0.0,0.0
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0,0.0,0.2,0.0,0.0,0.0
28,1,28.0,28.0,719.0,719.0,0.999999999996114,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,719.0,0.0,0.0
29,1,29.0,29.0,7.280109889280518,9.0,0.9640566180149879,7.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904585,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
32,1,32.0,32.0,36270.00034463744,36275.0,0.999999999430461,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,36270.0,0.0,0.0
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
34,1,34.0,34.0,47818.00021958258,47825.0,-0.08146865687321214,4.0,0.0,2.0,0,1.0,0,0,0.0,0.0,47818.0,0.0,0.0
35,1,35.0,35.0,43303.00012701198,43308.0,-0.08143847055924325,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,43303.0,0.0,0.0
36,1,36.0,36.0,7.0710678118654755,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
37,1,37.0,37.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
39,1,39.0,39.0,49223.00037584056,49230.0,-0.07610366990176254,6.0,0.0,1.0,0,0.0,1,0,0.0,0.2,49223.0,0.0,0.0
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
41,1,41.0,41.0,30092.00001661571,30093.0,0.999999937412584,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,30092.0,0.0,0.0
42,1,42.0,42.0,47820.00010455876,47824.0,-0.09697421599899414,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,47820.0,0.0,0.0
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
45,1,45.0,45.0,9.055385138137417,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
47,1,47.0,47.0,85493.00009942334,85498.0,-0.08962617875947654,4.0,0.0,1.0,0,0.0,1,0,0.0,0.2,85493.0,0.0,0.0
48,1,48.0,48.0,30920.000420439843,30926.0,0.9999999997549752,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,30920.0,0.0,0.0
49,1,49.0,49.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851457,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
51,1,51.0,51.0,49233.000111713685,49238.0,-0.10700219418332524,1.0,0.0,3.0,0,1.0,0,0,0.0,0.0,49233.0,0.0,0.0
52,1,52.0,52.0,18221.00016464519,18225.0,0.9999999798068497,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,18221.0,0.0,0.0
53,1,53.0,53.0,12800.00324218709,12811.0,0.9999999886097176,9.0,0.0,1.0,0,1.0,0,0,0.0,0.0,12800.0,0.0,0.0
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
57,1,57.0,57.0,35131.000042697335,35134.0,0.9999998257122552,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,35131.0,0.0,0.0
58,1,58.0,58.0,10506.000475918512,10510.0,-0.06052161764750119,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,10506.0,0.0,0.0
59,1,59.0,59.0,10.0,10.0,0.14002800840280094,10.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
60,1,60.0,60.0,8.602325267042627,12.0,0.9931695968516403,8.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
61,1,61.0,61.0,47114.00004245023,47116.0,-0.18883381791617038,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,47114.0,0.0,0.0
62,1,62.0,62.0,46413.00021545688,46419.0,-0.10023092829062286,4.0,0.0,2.0,0,0.0,1,0,0.0,0.2,46413.0,0.0,0.0
63,1,63.0,63.0,8.0,8.0,0.9551668842409458,8.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
64,1,64.0,64.0,4.0,4.0,0.9961017296304553,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
65,1,65.0,65.0,1.7320508075688772,3.0,0.9865810386618541,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
66,1,66.0,66.0,4.242640687119285,6.0,0.9984038297885897,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
67,1,67.0,67.0,3.3166247903554,5.0,0.9999999977299046,3.0,0.0,1.0,0,1.0,0,0,0.0,0.2,0.0,1.0,0.0
68,1,68.0,68.0,3.0,3.0,0.9941348467724342,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
69,1,69.0,69.0,41003.00010974806,41006.0,-0.09546024891184168,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,41003.0,0.0,0.0
70,1,70.0,70.0,55104.000018147504,55106.0,-0.1089247947872467,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,55104.0,0.0,0.0
71,1,71.0,71.0,41003.00002438846,41005.0,-0.08052578259510512,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,41003.0,0.0,0.0
72,1,72.0,72.0,4.0,4.0,0.9959289952477496,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
73,1,73.0,73.0,5.0990195135927845,6.0,0.9912407071619304,5.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
74,1,74.0,74.0,3.1622776601683795,4.0,0.6507913734559685,0.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
75,1,75.0,75.0,7508.003329780828,7516.0,0.999999993346269,7.0,0.0,0.0,1,1.0,0,0,0.0,0.2,7508.0,0.0,0.0
76,1,76.0,76.0,2.23606797749979,3.0,0.9945274832335643,2.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
77,1,77.0,77.0,5.0990195135927845,6.0,0.9954039000135861,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
78,1,78.0,78.0,10.0,10.0,0.5819143739626463,10.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
79,1,79.0,79.0,14102.000567295408,14106.0,-0.12132033907195283,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,14102.0,0.0,0.0
80,1,80.0,80.0,47592.00002101193,47594.0,-0.13113536913126822,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,47592.0,0.0,0.0
81,1,81.0,81.0,64192.00003894566,64195.0,-0.08148938756463364,2.0,0.0,1.0,0,0.0,1,0,0.0,0.2,64192.0,0.0,0.0
82,1,82.0,82.0,17078.00032205176,17083.0,0.9999999995422288,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,17078.0,0.0,0.0
83,1,83.0,83.0,84131.00010697602,84137.0,-0.1070570555474819,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,84131.0,0.0,0.0
84,1,84.0,84.0,36400.000013736266,36401.0,0.9999995194658244,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,36400.0,0.0,0.0
85,1,85.0,85.0,69202.00007225225,69206.0,-0.08226049566172944,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,69202.0,0.0,0.0
86,1,86.0,86.0,47919.00006260565,47923.0,0.9999996265697615,2.0,0.0,1.0,0,1.0,0,0,0.0,0.0,47919.0,0.0,0.0
87,1,87.0,87.0,49234.00051793476,49243.0,-0.15404634456097233,7.0,0.0,1.0,0,1.0,0,0,0.0,0.0,49234.0,0.0,0.0
88,1,88.0,88.0,10.099504938362077,12.0,0.9666913176095693,10.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
89,1,89.0,89.0,2.23606797749979,3.0,0.9766244823564243,1.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
90,1,90.0,90.0,2.0,2.0,0.9601486977992117,0.0,1.0,2.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0
91,1,91.0,91.0,11.090536506409418,13.0,-0.23904572186687867,11.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
92,1,92.0,92.0,2.23606797749979,3.0,0.9917412796391081,2.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0
93,1,93.0,93.0,5.0,5.0,0.9146591207600472,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
94,1,94.0,94.0,6.164414002968976,8.0,0.8411910241920598,6.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
95,1,95.0,95.0,49407.00010120023,49411.0,0.9999999982760743,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,49407.0,0.0,0.0
96,1,96.0,96.0,5.0990195135927845,8.0,0.9722857292609522,4.0,0.0,3.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
97,1,97.0,97.0,1.4142135623730951,2.0,0.9967657002470139,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
98,1,98.0,98.0,4.242640687119285,6.0,0.9673753912650251,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
99,1,99.0,99.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
100,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
101,0,,,1.0,1.0,0.9990248656871403,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
102,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
103,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
104,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
105,0,,,19979.00010010511,19981.0,0.9999999987929954,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19979.0,0.0,0.0
106,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
107,0,,,2300.0034782582393,2304.0,0.9999999940293182,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,2300.0,0.0,0.0
108,0,,,981.0050968267188,985.0,0.999999999246804,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,981.0,0.0,0.0
109,0,,,35008.0,35008.0,0.9999999937970011,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,35008.0,0.0,0.0
110,0,,,35879.00001393573,35880.0,0.9999999942017791,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,35879.0,0.0,0.0
111,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
112,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
113,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
114,0,,,8220.000547445237,8223.0,0.9999999934723207,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,8220.0,0.0,0.0
115,0,,,10.04987562112089,11.0,0.611052381486151,10.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
116,0,,,8231.00012149192,8233.0,0.9999999970401126,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,8231.0,0.0,0.0
117,0,,,2.0,2.0,0.9986187838711753,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
118,0,,,19220.000234131112,19223.0,0.9999999957395719,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19220.0,0.0,0.0
119,0,,,2.0,2.0,0.9883173560569456,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
120,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
121,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
122,0,,,10010.00044955044,10013.0,0.9999999998123366,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,10010.0,0.0,0.0
123,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
124,0,,,9.055385138137417,10.0,0.6285393610547089,9.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0
125,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
126,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
127,0,,,23189.0,23189.0,0.9999999932465629,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,23189.0,0.0,0.0
128,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
129,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
130,0,,,2.0,2.0,0.9883173560569456,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
131,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
132,0,,,35008.0,35008.0,0.9999999937970011,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,35008.0,0.0,0.0
133,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
134,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
135,0,,,1.0,1.0,0.9979654098963519,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
136,0,,,19979.00010010511,19981.0,0.9999999987929954,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19979.0,0.0,0.0
137,0,,,23189.0,23189.0,0.9999999932465629,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,23189.0,0.0,0.0
138,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
139,0,,,2.0,2.0,0.9992990141526302,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
140,0,,,12890.00003878976,12891.0,0.9999999551557137,0.0,1.0,0.0,1,1.0,0,0,0.0,0.4,12890.0,0.0,0.0
141,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,29995.0,0.0,0.0
142,0,,,9807.001835423505,9813.0,0.9999999978676115,6.0,0.0,0.0,1,0.0,1,0,0.0,0.4,9807.0,0.0,0.0
143,0,,,1.0,1.0,0.9999999997333423,0.0,1.0,0.0,1,1.0,0,0,0.0,0.6,0.0,1.0,0.0
144,0,,,1.0,1.0,0.9979654098963519,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
145,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
146,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
147,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
148,0,,,1.0,1.0,0.9999999997936276,0.0,1.0,0.0,1,1.0,0,0,0.0,0.6,0.0,1.0,0.0
149,0,,,1.0,1.0,0.9990248656871403,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
150,0,,,29995.000066677778,29997.0,0.9999999948722226,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,29995.0,0.0,0.0
151,0,,,33210.000060222825,33212.0,0.9999999994305183,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,33210.0,0.0,0.0
152,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
153,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
154,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
155,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
156,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
157,0,,,5888.000849184721,5892.0,0.9999999994430284,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,5888.0,0.0,0.0
158,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
159,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
160,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
161,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
162,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
163,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
164,0,,,6895.001160260961,6899.0,0.999999998434994,4.0,0.0,0.0,1,0.0,1,0,0.0,0.4,6895.0,0.0,0.0
165,0,,,391.0319680026174,396.0,0.9999999983210318,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,391.0,0.0,0.0
166,0,,,2.0,2.0,0.9914573982080404,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
167,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
168,0,,,156.00641012471252,158.0,0.9999999955566165,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,156.0,0.0,0.0
169,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
170,0,,,1.4142135623730951,2.0,0.99999999497079,1.0,0.0,0.0,1,1.0,0,0,0.0,0.4,0.0,1.0,0.0
171,0,,,10010.00044955044,10013.0,0.9999999998123366,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,10010.0,0.0,0.0
172,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
173,0,,,2.0,2.0,0.9986187838711753,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
174,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
175,0,,,391.0319680026174,396.0,0.9999999983210318,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,391.0,0.0,0.0
176,0,,,2.0,2.0,0.999611961278529,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
177,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
178,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
179,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
180,0,,,1.0,1.0,0.9428090415820635,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
181,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
182,0,,,12890.00003878976,12891.0,0.9999999551557137,0.0,1.0,0.0,1,1.0,0,0,0.0,0.4,12890.0,0.0,0.0
183,0,,,19220.000234131112,19223.0,0.9999999957395719,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19220.0,0.0,0.0
184,0,,,18498.00024326954,18501.0,0.9999999993411026,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,18498.0,0.0,0.0
185,0,,,9807.001835423505,9813.0,0.9999999978676115,6.0,0.0,0.0,1,0.0,1,0,0.0,0.4,9807.0,0.0,0.0
186,0,,,35008.0,35008.0,0.9999999937970011,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,35008.0,0.0,0.0
187,0,,,1.0,1.0,0.9979402655783318,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
188,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
189,0,,,19220.000234131112,19223.0,0.9999999957395719,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,19220.0,0.0,0.0
190,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0
191,0,,,6589.001897100956,6594.0,0.9999999888771502,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,6589.0,0.0,0.0
192,0,,,3389.000590144534,3391.0,0.999999904023054,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,3389.0,0.0,0.0
